Player,Date,Team,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos
A.J. Green,2024-11-04,MIL,CLE,L 114-116,0,34,7,9,0.778,0,0,0.0,7,9,0.778,0,0,0.0,1.167,0,6,6,1,0,0,1,0,21,19.0,11.4,5.0,G
A.J. Green,2025-01-04,MIL,POR,L 102-105,0,30,7,13,0.538,0,0,0.0,7,13,0.538,0,0,0.0,0.808,0,2,2,3,1,0,1,2,21,16.6,11.1,4.0,G
A.J. Green,2024-11-20,MIL,CHI,W 122-106,0,27,6,9,0.667,1,2,0.5,5,7,0.714,1,2,0.5,0.911,1,1,2,1,2,1,0,2,18,17.3,13.5,22.0,G
A.J. Green,2025-03-05,MIL,DAL,W 137-107,0,31,6,9,0.667,0,0,0.0,6,9,0.667,0,0,0.0,1.0,0,2,2,2,0,0,0,2,18,15.3,8.0,22.0,G
A.J. Green,2025-01-14,MIL,SAC,W 130-115,0,30,5,13,0.385,1,1,1.0,4,12,0.333,2,2,1.0,0.576,2,2,4,1,0,0,0,2,16,10.8,-1.6,9.0,G
A.J. Green,2025-01-08,MIL,SAS,W 121-105,0,25,5,9,0.556,1,2,0.5,4,7,0.571,0,0,0.0,0.778,0,1,1,1,1,0,0,3,14,10.5,5.3,18.0,G
A.J. Green,2025-02-02,MIL,MEM,L 119-132,0,28,5,8,0.625,2,2,1.0,3,6,0.5,1,1,1.0,0.829,1,2,3,1,2,0,0,2,14,13.6,5.6,-13.0,G
A.J. Green,2024-11-30,MIL,WAS,W 124-114,0,26,4,8,0.5,1,2,0.5,3,6,0.5,2,2,1.0,0.732,0,1,1,1,0,0,0,6,13,7.6,-4.6,6.0,G
A.J. Green,2024-11-07,MIL,UTA,W 123-100,0,18,4,6,0.667,0,0,0.0,4,6,0.667,0,0,0.0,1.0,0,0,0,2,1,0,1,0,12,10.8,14.2,13.0,G
A.J. Green,2024-11-10,MIL,BOS,L 107-113,0,27,4,6,0.667,0,0,0.0,4,6,0.667,0,0,0.0,1.0,0,3,3,0,3,0,0,1,12,12.9,10.3,-5.0,G
A.J. Green,2024-11-12,MIL,TOR,W 99-85,*,30,4,14,0.286,0,0,0.0,4,14,0.286,0,0,0.0,0.429,2,3,5,3,2,0,1,2,12,8.4,-0.7,12.0,G
A.J. Green,2025-02-25,MIL,HOU,L 97-100,0,33,4,8,0.5,0,0,0.0,4,8,0.5,0,0,0.0,0.75,1,4,5,1,1,0,0,3,12,10.4,3.3,7.0,G
A.J. Green,2024-12-03,MIL,DET,W 128-107,0,22,4,4,1.0,1,1,1.0,3,3,1.0,0,0,0.0,1.375,0,3,3,0,2,0,3,5,11,7.7,3.3,-2.0,G
A.J. Green,2025-02-09,MIL,PHI,W 135-127,0,25,3,7,0.429,1,3,0.333,2,4,0.5,3,3,1.0,0.661,0,4,4,2,1,0,0,1,11,10.5,1.2,28.0,G
A.J. Green,2024-12-23,MIL,CHI,W 112-91,0,25,3,8,0.375,2,3,0.667,1,5,0.2,3,3,1.0,0.536,0,2,2,3,0,0,1,1,10,6.9,-3.1,18.0,G
A.J. Green,2024-10-25,MIL,CHI,L 122-133,0,11,3,4,0.75,0,0,0.0,3,4,0.75,0,0,0.0,1.125,0,1,1,1,0,0,0,1,9,8.0,15.2,-6.0,G
A.J. Green,2024-11-08,MIL,NYK,L 94-116,0,25,3,6,0.5,0,0,0.0,3,6,0.5,0,0,0.0,0.75,0,0,0,0,0,0,0,4,9,4.4,-2.4,-4.0,G
A.J. Green,2024-11-23,MIL,CHO,W 125-119,0,25,3,4,0.75,0,0,0.0,3,4,0.75,0,0,0.0,1.125,1,5,6,0,0,0,2,6,9,5.2,-3.5,20.0,G
A.J. Green,2024-11-26,MIL,MIA,W 106-103,*,28,3,7,0.429,0,0,0.0,3,7,0.429,0,0,0.0,0.643,0,1,1,2,0,0,1,4,9,4.4,-6.7,4.0,G
A.J. Green,2024-12-10,MIL,ORL,W 114-109,0,33,3,9,0.333,0,1,0.0,3,8,0.375,0,0,0.0,0.5,0,4,4,2,0,1,2,2,9,4.4,-5.8,13.0,G
A.J. Green,2024-12-14,MIL,ATL,W 110-102,0,19,3,6,0.5,0,0,0.0,3,6,0.5,0,0,0.0,0.75,0,1,1,1,0,0,2,6,9,2.6,-6.1,6.0,G
A.J. Green,2024-12-31,MIL,IND,W 120-112,0,16,3,6,0.5,0,0,0.0,3,6,0.5,0,0,0.0,0.75,1,1,2,1,0,0,0,5,9,5.7,3.0,8.0,G
A.J. Green,2025-02-12,MIL,MIN,W 103-101,0,19,3,8,0.375,0,1,0.0,3,7,0.429,0,0,0.0,0.563,0,1,1,1,0,0,0,3,9,4.4,-2.3,-6.0,G
A.J. Green,2025-02-20,MIL,LAC,W 116-110,0,30,3,8,0.375,0,0,0.0,3,8,0.375,0,0,0.0,0.563,1,2,3,2,0,0,0,3,9,6.1,-1.6,18.0,G
A.J. Green,2025-02-21,MIL,WAS,W 104-101,*,37,3,9,0.333,0,0,0.0,3,9,0.333,0,0,0.0,0.5,0,3,3,3,1,1,1,4,9,6.0,-3.7,-7.0,G
A.J. Green,2024-12-26,MIL,BRK,L 105-111,0,29,3,8,0.375,1,1,1.0,2,7,0.286,0,0,0.0,0.5,1,5,6,2,0,0,0,1,8,6.8,-3.9,2.0,G
A.J. Green,2025-02-05,MIL,CHO,W 112-102,0,28,3,7,0.429,1,1,1.0,2,6,0.333,0,0,0.0,0.571,0,2,2,1,1,1,1,2,8,5.5,-5.4,1.0,G
A.J. Green,2025-03-04,MIL,ATL,W 127-121,0,23,3,8,0.375,1,2,0.5,2,6,0.333,0,0,0.0,0.5,0,4,4,1,0,0,1,0,8,4.5,-5.8,1.0,G
A.J. Green,2025-03-16,MIL,OKC,L 105-121,0,19,3,5,0.6,1,1,1.0,2,4,0.5,0,0,0.0,0.8,0,2,2,1,0,0,1,3,8,4.8,-1.8,-10.0,G
A.J. Green,2024-12-04,MIL,ATL,L 104-119,0,27,2,11,0.182,0,0,0.0,2,11,0.182,0,0,0.0,0.273,0,4,4,4,0,0,0,3,6,1.9,-9.0,-8.0,G
A.J. Green,2024-12-06,MIL,BOS,L 105-111,0,23,2,4,0.5,0,2,0.0,2,2,1.0,0,0,0.0,0.75,0,2,2,0,0,0,1,0,6,3.6,-1.8,5.0,G
A.J. Green,2024-12-08,MIL,BRK,W 118-113,0,22,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0.0,1.5,0,1,1,0,0,0,0,2,6,4.9,1.4,6.0,G
A.J. Green,2024-12-21,MIL,WAS,W 112-101,0,31,2,7,0.286,0,1,0.0,2,6,0.333,0,0,0.0,0.429,0,4,4,6,2,0,0,1,6,8.9,-1.2,-1.0,G
A.J. Green,2025-01-12,MIL,NYK,L 106-140,0,25,2,5,0.4,0,0,0.0,2,5,0.4,0,0,0.0,0.6,0,2,2,1,0,0,0,4,6,3.0,-6.9,-4.0,G
A.J. Green,2025-01-17,MIL,TOR,W 130-112,0,19,2,4,0.5,0,0,0.0,2,4,0.5,0,0,0.0,0.75,0,4,4,1,1,0,1,3,6,4.7,0.3,4.0,G
A.J. Green,2025-02-27,MIL,DEN,W 121-112,0,20,2,4,0.5,0,1,0.0,2,3,0.667,0,0,0.0,0.75,0,1,1,2,1,0,0,2,6,5.9,3.2,-8.0,G
A.J. Green,2025-03-01,MIL,DAL,W 132-117,0,19,1,3,0.333,0,0,0.0,1,3,0.333,3,3,1.0,0.694,0,1,1,1,0,0,1,4,6,2.7,-9.4,-2.0,G
A.J. Green,2025-03-11,MIL,IND,L 114-115,0,20,2,5,0.4,0,0,0.0,2,5,0.4,0,0,0.0,0.6,0,1,1,4,0,0,0,3,6,5.2,1.3,-8.0,G
A.J. Green,2025-03-15,MIL,IND,W 126-119,0,15,2,7,0.286,0,1,0.0,2,6,0.333,0,1,0.0,0.403,1,0,1,3,0,0,1,0,6,3.3,-7.9,2.0,G
A.J. Green,2024-10-27,MIL,BRK,L 102-115,0,13,1,4,0.25,0,0,0.0,1,4,0.25,2,2,1.0,0.512,0,0,0,1,0,0,1,0,5,2.3,-6.4,-3.0,G
A.J. Green,2024-11-18,MIL,HOU,W 101-100,0,29,2,6,0.333,1,1,1.0,1,5,0.2,0,0,0.0,0.417,0,5,5,2,0,0,0,3,5,3.3,-4.5,15.0,G
A.J. Green,2024-11-22,MIL,IND,W 129-117,0,23,2,7,0.286,1,1,1.0,1,6,0.167,0,0,0.0,0.357,0,3,3,0,1,0,0,2,5,2.0,-10.2,-22.0,G
A.J. Green,2024-12-28,MIL,CHI,L 111-116,0,24,2,4,0.5,1,1,1.0,1,3,0.333,0,0,0.0,0.625,0,2,2,1,0,1,1,1,5,3.6,-5.9,-2.0,G
A.J. Green,2025-01-06,MIL,TOR,W 128-104,0,13,2,3,0.667,1,1,1.0,1,2,0.5,0,0,0.0,0.833,0,0,0,1,0,0,0,5,5,2.4,-6.2,4.0,G
A.J. Green,2025-02-10,MIL,GSW,L 111-125,0,22,2,8,0.25,1,4,0.25,1,4,0.25,0,0,0.0,0.313,0,2,2,0,0,0,0,3,5,-0.4,-12.3,-15.0,G
A.J. Green,2025-02-23,MIL,MIA,W 120-113,0,30,2,6,0.333,1,1,1.0,1,5,0.2,0,0,0.0,0.417,0,1,1,2,1,0,1,3,5,2.1,-7.3,-1.0,G
